Year,Existing,Occupancy status,Housing type,Surface
2017,TRUE,Owner-occupied,Single-family,110.0
2017,TRUE,Owner-occupied,Multi-family,74
2017,TRUE,Privately rented,Single-family,87
2017,TRUE,Privately rented,Multi-family,54
2017,TRUE,Social-housing,Single-family,78
2017,TRUE,Social-housing,Multi-family,63
2017,FALSE,Owner-occupied,Single-family,132
2017,FALSE,Owner-occupied,Multi-family,81
2017,FALSE,Privately rented,Single-family,90
2017,FALSE,Privately rented,Multi-family,60
2017,FALSE,Social-housing,Single-family,84
2017,FALSE,Social-housing,Multi-family,71
2025,TRUE,Owner-occupied,Single-family,109.5
2025,TRUE,Owner-occupied,Multi-family,67
2025,TRUE,Privately rented,Single-family,87.1
2025,TRUE,Privately rented,Multi-family,48
2025,TRUE,Social-housing,Single-family,77.8
2025,TRUE,Social-housing,Multi-family,57
